source_id,rule_key,rule_object,constraint_type,subject,operator,value,unit,condition,exception,evidence_text,warnings,source_stream,batch_id,rule_id,applies_to,applies_to_objects,scope_count,scope_mode,merged_rule_ids,merged_rule_count,dedup_status,review_reasons,review_required,merged_rule_id,approval_type,rule_object_original
page_0001__table_001,permitted_use_small_scale_multi_unit_housing,permitted_use,permitted_use,Small-Scale Multi-Unit Housing,permitted,,,Principal Use,,Principal Use | Small-Scale Multi-Unit Housing | -,[],gemini_table_image,page_0001__table_001,pipeline10_rule_0001,"[{'rule_id': 'pipeline10_rule_0001', 'rule_object': 'permitted_use', 'condition': 'Principal Use'}]",['permitted_use'],1,single_scope,['pipeline10_rule_0001'],1,kept,[],False,pipeline5_merged_rule_0001,permitted,
page_0001__table_001,permitted_use_rowhouse_dwellings,permitted_use,permitted_use,Rowhouse Dwellings,permitted,,,Principal Use; Use-Specific Regulations: 101.5.2,,Principal Use | Rowhouse Dwellings | 101.5.2,[],gemini_table_image,page_0001__table_001,pipeline10_rule_0002,"[{'rule_id': 'pipeline10_rule_0002', 'rule_object': 'permitted_use', 'condition': 'Principal Use; Use-Specific Regulations: 101.5.2'}]",['permitted_use'],1,single_scope,['pipeline10_rule_0002'],1,kept,[],False,pipeline5_merged_rule_0002,permitted,
page_0001__table_002,rowhouse_min_lot_width_interior,lot_width,minimum,Rowhouse .1,>=,5,m,Interior Lot,except 6.2 m for end unit lots,"Dwelling Type | Rowhouse .1 | Minimum Lot Width .2 | Interior Lot | 5 m, except 6.2 m for end unit lots",[],gemini_table_image,page_0001__table_002,pipeline10_rule_0011,"[{'rule_id': 'pipeline10_rule_0011', 'rule_object': 'lot_width', 'condition': 'Interior Lot'}]",['lot_width'],1,single_scope,['pipeline10_rule_0011'],1,kept,['exception_requires_atomic_review'],True,pipeline5_merged_rule_0011,,
page_0001__table_002,rowhouse_min_lot_width_interior_end_unit,lot_width,minimum,Rowhouse .1,>=,6.2,m,Interior Lot; end unit lots,,"Dwelling Type | Rowhouse .1 | Minimum Lot Width .2 | Interior Lot | 5 m, except 6.2 m for end unit lots",[],gemini_table_image,page_0001__table_002,pipeline10_rule_0012,"[{'rule_id': 'pipeline10_rule_0012', 'rule_object': 'lot_width', 'condition': 'Interior Lot; end unit lots'}]",['lot_width'],1,single_scope,['pipeline10_rule_0012'],1,kept,[],False,pipeline5_merged_rule_0012,,
page_0001__table_002,small_scale_multi_unit_min_lot_width_interior,lot_width,minimum,Small-Scale Multi-Unit,>=,10,m,Interior Lot,,Dwelling Type | Small-Scale Multi-Unit | Minimum Lot Width .2 | Interior Lot | 10 m,[],gemini_table_image,page_0001__table_002,pipeline10_rule_0013,"[{'rule_id': 'pipeline10_rule_0013', 'rule_object': 'lot_width', 'condition': 'Interior Lot'}]",['lot_width'],1,single_scope,['pipeline10_rule_0013'],1,kept,[],False,pipeline5_merged_rule_0013,,
page_0001__table_002,rowhouse_min_lot_width_corner_street,lot_width,minimum,Rowhouse .1,>=,8,m,Corner Lot - Street,,Dwelling Type | Rowhouse .1 | Minimum Lot Width .2 | Corner Lot - Street | 8 m,[],gemini_table_image,page_0001__table_002,pipeline10_rule_0014,"[{'rule_id': 'pipeline10_rule_0014', 'rule_object': 'lot_width', 'condition': 'Corner Lot - Street'}]",['lot_width'],1,single_scope,['pipeline10_rule_0014'],1,kept,[],False,pipeline5_merged_rule_0014,,
page_0001__table_002,small_scale_multi_unit_min_lot_width_corner_street,lot_width,minimum,Small-Scale Multi-Unit,>=,10,m,Corner Lot - Street,,Dwelling Type | Small-Scale Multi-Unit | Minimum Lot Width .2 | Corner Lot - Street | 10 m,[],gemini_table_image,page_0001__table_002,pipeline10_rule_0015,"[{'rule_id': 'pipeline10_rule_0015', 'rule_object': 'lot_width', 'condition': 'Corner Lot - Street'}]",['lot_width'],1,single_scope,['pipeline10_rule_0015'],1,kept,[],False,pipeline5_merged_rule_0015,,
page_0001__table_002,rowhouse_min_lot_width_corner_lane,lot_width,minimum,Rowhouse .1,>=,6.2,m,Corner Lot - Lane,,Dwelling Type | Rowhouse .1 | Minimum Lot Width .2 | Corner Lot - Lane | 6.2 m,[],gemini_table_image,page_0001__table_002,pipeline10_rule_0016,"[{'rule_id': 'pipeline10_rule_0016', 'rule_object': 'lot_width', 'condition': 'Corner Lot - Lane'}]",['lot_width'],1,single_scope,['pipeline10_rule_0016'],1,kept,[],False,pipeline5_merged_rule_0016,,
page_0001__table_002,small_scale_multi_unit_min_lot_width_corner_lane,lot_width,minimum,Small-Scale Multi-Unit,>=,10,m,Corner Lot - Lane,,Dwelling Type | Small-Scale Multi-Unit | Minimum Lot Width .2 | Corner Lot - Lane | 10 m,[],gemini_table_image,page_0001__table_002,pipeline10_rule_0017,"[{'rule_id': 'pipeline10_rule_0017', 'rule_object': 'lot_width', 'condition': 'Corner Lot - Lane'}]",['lot_width'],1,single_scope,['pipeline10_rule_0017'],1,kept,[],False,pipeline5_merged_rule_0017,,
page_0001__table_002,small_scale_multi_unit_min_lot_area,lot_area,minimum,Small-Scale Multi-Unit,>=,281,m2,,,Dwelling Type | Small-Scale Multi-Unit | Lot Area .3 | Minimum Lot Area | 281 m²,[],gemini_table_image,page_0001__table_002,pipeline10_rule_0018,"[{'rule_id': 'pipeline10_rule_0018', 'rule_object': 'lot_area', 'condition': ''}]",['lot_area'],1,single_scope,['pipeline10_rule_0018'],1,kept,[],False,pipeline5_merged_rule_0018,,
page_0001__table_002,rowhouse_max_lot_area,lot_area,maximum,Rowhouse .1,<=,280,m2,,,Dwelling Type | Rowhouse .1 | Lot Area .3 | Maximum Lot Area | 280 m²,[],gemini_table_image,page_0001__table_002,pipeline10_rule_0019,"[{'rule_id': 'pipeline10_rule_0019', 'rule_object': 'lot_area', 'condition': ''}]",['lot_area'],1,single_scope,['pipeline10_rule_0019'],1,kept,[],False,pipeline5_merged_rule_0019,,
page_0002__table_001,permitted_dwelling_units_rowhouse,dwelling_units,permitted_range,Rowhouse,range,1-3,units,including secondary suites,,Permitted Dwelling Units (including secondary suites) | Rowhouse | 1 to 3 Units,[],gemini_table_image,page_0002__table_001,pipeline10_rule_0020,"[{'rule_id': 'pipeline10_rule_0020', 'rule_object': 'dwelling_units', 'condition': 'including secondary suites'}]",['dwelling_units'],1,single_scope,['pipeline10_rule_0020'],1,kept,[],False,pipeline5_merged_rule_0020,,
