source_id,rule_key,rule_object,constraint_type,subject,operator,value,unit,condition,exception,evidence_text,warnings,source_stream,batch_id,rule_id
vancouver_generic_graph_pack_007__page_0008__local_002,development_floor_area_computation_method,floor_area,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0001
vancouver_generic_graph_pack_007__page_0008__local_002,development_floor_space_ratio_computation_method,floor_space_ratio,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0002
vancouver_generic_graph_pack_007__page_0008__local_002,development_yards_computation_method,yard,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0003
vancouver_generic_graph_pack_007__page_0008__local_002,development_site_coverage_computation_method,site_coverage,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0004
vancouver_generic_graph_pack_007__page_0008__local_002,development_impermeability_computation_method,impermeability,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0005
vancouver_generic_graph_pack_007__page_0008__local_002,development_number_of_buildings_on_site_computation_method,number_of_buildings_on_site,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0006
vancouver_generic_graph_pack_007__page_0008__local_002,development_dwelling_unit_density_computation_method,dwelling_unit_density,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0007
vancouver_generic_graph_pack_007__page_0008__local_007,laneway_house_floor_area_max_site_area_ratio,floor_area,maximum,laneway_house,<=,0.25,,must not exceed the lesser of 0.25 multiplied by the site area and 186 m2,,(a) 0.25 multiplied by the site area; and,[],gemini_text_batch,text_batch_0001,pipeline10_rule_0008
vancouver_generic_graph_pack_007__page_0008__local_008,laneway_house_floor_area_max_absolute,floor_area,maximum,laneway_house,<=,186,m2,must not exceed the lesser of 0.25 multiplied by the site area and 186 m2,,(b) 186 m2.,[],gemini_text_batch,text_batch_0001,pipeline10_rule_0009
vancouver_generic_graph_pack_007__page_0008__local_009,laneway_house_site_width_min,site_width,minimum,laneway_house,>=,9.8,m,,"the Director of Planning may reduce the minimum site width if the site is at least 7.3 m in width and the Director of Planning considers massing, overlook and impact on neighbourhood privacy and all applicable Council policies and guidelines.","11.3.8.3 The minimum site width for a laneway house is 9.8 m, except that the Director of Planning may reduce the minimum site width if:",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0010
vancouver_generic_graph_pack_007__page_0008__local_012,laneway_house_building_height_max_m,building_height,maximum,laneway_house,<=,8.5,m,,,11.3.8.4 The building height for a laneway house must not exceed 8.5 m and 2 storeys.,[],gemini_text_batch,text_batch_0001,pipeline10_rule_0011
vancouver_generic_graph_pack_007__page_0008__local_012,laneway_house_building_height_max_storeys,building_height,maximum,laneway_house,<=,2,storeys,,,11.3.8.4 The building height for a laneway house must not exceed 8.5 m and 2 storeys.,[],gemini_text_batch,text_batch_0001,pipeline10_rule_0012
vancouver_generic_graph_pack_007__page_0008__local_013,site_with_laneway_house_site_coverage_max,site_coverage,maximum,site_with_laneway_house,<=,50,%,of the site area,Despite the maximum permitted site coverage in an applicable district schedule,"11.3.8.5 Despite the maximum permitted site coverage in an applicable district schedule, for a site with a laneway house, the maximum site coverage is 50% of the site area.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0013
vancouver_generic_graph_pack_009__page_0009__local_002,11.3.8.8_floor_area_computation_inclusion_general,floor_area_computation,measurement,laneway_house,required,,,must include specific items as per sections 11.3.8.8(a) to (c),,Computation of floor area for a laneway house must include:,[],gemini_text_batch,text_batch_0002,pipeline10_rule_0014
vancouver_generic_graph_pack_009__page_0009__local_003,11.3.8.8a_floor_area_inclusion_floors,floor_area_component,measurement,all_floors,required,,,"for computation of floor area for a laneway house; including earthen floor, measured to the extreme outer limits of the building",,"all floors, including earthen floor, measured to the extreme outer limits of the building;",[],gemini_text_batch,text_batch_0002,pipeline10_rule_0015
