source_id,rule_key,rule_object,constraint_type,subject,operator,value,unit,condition,exception,evidence_text,warnings,source_stream,batch_id,rule_id,applies_to,applies_to_objects,scope_count,scope_mode,merged_rule_ids,merged_rule_count,dedup_status,review_reasons,review_required,merged_rule_id,rule_object_original,approval_type
vancouver_generic_graph_pack_007__page_0008__local_002,development_floor_area_computation_method,floor_area,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0001,"[{'rule_id': 'pipeline10_rule_0001', 'rule_object': 'floor_area', 'condition': 'for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels'}]",['floor_area'],1,single_scope,['pipeline10_rule_0001'],1,kept,[],False,pipeline5_merged_rule_0001,,
vancouver_generic_graph_pack_007__page_0008__local_002,development_floor_space_ratio_computation_method,floor_area,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0002,"[{'rule_id': 'pipeline10_rule_0002', 'rule_object': 'floor_space_ratio', 'condition': 'for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels'}]",['floor_space_ratio'],1,single_scope,['pipeline10_rule_0002'],1,kept,[],False,pipeline5_merged_rule_0002,floor_space_ratio,
vancouver_generic_graph_pack_007__page_0008__local_002,development_yards_computation_method,floor_area,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0003,"[{'rule_id': 'pipeline10_rule_0003', 'rule_object': 'yard', 'condition': 'for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels'}]",['yard'],1,single_scope,['pipeline10_rule_0003'],1,kept,[],False,pipeline5_merged_rule_0003,yard,
vancouver_generic_graph_pack_007__page_0008__local_002,development_site_coverage_computation_method,floor_area,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0004,"[{'rule_id': 'pipeline10_rule_0004', 'rule_object': 'site_coverage', 'condition': 'for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels'}]",['site_coverage'],1,single_scope,['pipeline10_rule_0004'],1,kept,[],False,pipeline5_merged_rule_0004,site_coverage,
vancouver_generic_graph_pack_007__page_0008__local_002,development_impermeability_computation_method,floor_area,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0005,"[{'rule_id': 'pipeline10_rule_0005', 'rule_object': 'impermeability', 'condition': 'for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels'}]",['impermeability'],1,single_scope,['pipeline10_rule_0005'],1,kept,[],False,pipeline5_merged_rule_0005,impermeability,
vancouver_generic_graph_pack_007__page_0008__local_002,development_number_of_buildings_on_site_computation_method,floor_area,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0006,"[{'rule_id': 'pipeline10_rule_0006', 'rule_object': 'number_of_buildings_on_site', 'condition': 'for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels'}]",['number_of_buildings_on_site'],1,single_scope,['pipeline10_rule_0006'],1,kept,[],False,pipeline5_merged_rule_0006,number_of_buildings_on_site,
vancouver_generic_graph_pack_007__page_0008__local_002,development_dwelling_unit_density_computation_method,floor_area,computation_method,computation_method,required,,,"for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels",,"11.3.7.1 Computation of floor area, floor space ratio, yards, site coverage, impermeability, number of buildings on site and dwelling unit density must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels.",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0007,"[{'rule_id': 'pipeline10_rule_0007', 'rule_object': 'dwelling_unit_density', 'condition': 'for development with dwelling units; must be based on the site width and area at the time of development, prior to any subdivision into individual freehold rowhouse parcels'}]",['dwelling_unit_density'],1,single_scope,['pipeline10_rule_0007'],1,kept,[],False,pipeline5_merged_rule_0007,dwelling_unit_density,
vancouver_generic_graph_pack_007__page_0008__local_007,laneway_house_floor_area_max_site_area_ratio,floor_area,maximum,laneway_house,<=,0.25,,must not exceed the lesser of 0.25 multiplied by the site area and 186 m2,,(a) 0.25 multiplied by the site area; and,[],gemini_text_batch,text_batch_0001,pipeline10_rule_0008,"[{'rule_id': 'pipeline10_rule_0008', 'rule_object': 'floor_area', 'condition': 'must not exceed the lesser of 0.25 multiplied by the site area and 186 m2'}]",['floor_area'],1,single_scope,['pipeline10_rule_0008'],1,kept,[],False,pipeline5_merged_rule_0008,,
vancouver_generic_graph_pack_007__page_0008__local_008,laneway_house_floor_area_max_absolute,floor_area,maximum,laneway_house,<=,186,m2,must not exceed the lesser of 0.25 multiplied by the site area and 186 m2,,(b) 186 m2.,[],gemini_text_batch,text_batch_0001,pipeline10_rule_0009,"[{'rule_id': 'pipeline10_rule_0009', 'rule_object': 'floor_area', 'condition': 'must not exceed the lesser of 0.25 multiplied by the site area and 186 m2'}]",['floor_area'],1,single_scope,['pipeline10_rule_0009'],1,kept,[],False,pipeline5_merged_rule_0009,,
vancouver_generic_graph_pack_007__page_0008__local_009,laneway_house_site_width_min,site_width,minimum,laneway_house,>=,9.8,m,,"the Director of Planning may reduce the minimum site width if the site is at least 7.3 m in width and the Director of Planning considers massing, overlook and impact on neighbourhood privacy and all applicable Council policies and guidelines.","11.3.8.3 The minimum site width for a laneway house is 9.8 m, except that the Director of Planning may reduce the minimum site width if:",[],gemini_text_batch,text_batch_0001,pipeline10_rule_0010,"[{'rule_id': 'pipeline10_rule_0010', 'rule_object': 'site_width', 'condition': ''}]",['site_width'],1,single_scope,['pipeline10_rule_0010'],1,kept,"['exception_requires_atomic_review', 'incomplete_or_continuation_evidence']",True,pipeline5_merged_rule_0010,,
