source_id,rule_key,rule_object,constraint_type,subject,operator,value,unit,condition,exception,evidence_text,warnings,source_stream,batch_id,rule_id,applies_to,applies_to_objects,scope_count,scope_mode,merged_rule_ids,merged_rule_count,dedup_status,review_reasons,review_required,merged_rule_id,rule_object_original,approval_type,unit_original
page_0195__table_001,parking_90_aisle_width,parking_aisle_width,minimum_dimension,aisle width,>=,7.20,m,Parking angle: 90 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 90 | Aisle width (metres): 7.20,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0001,"[{'rule_id': 'pipeline10_rule_0001', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'Parking angle: 90 degrees'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0001'],1,kept,[],False,pipeline5_merged_rule_0001,motor_vehicle_parking_stall,,
page_0195__table_001,parking_90_stall_depth,parking_stall_depth,minimum_dimension,stall depth perpendicular to aisle,>=,5.40,m,Parking angle: 90 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 90 | Stall depth perpendicular to aisle (metres): 5.40,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0002,"[{'rule_id': 'pipeline10_rule_0002', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'Parking angle: 90 degrees'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0002'],1,kept,[],False,pipeline5_merged_rule_0002,motor_vehicle_parking_stall,,
page_0195__table_001,parking_90_stall_width_dwelling,parking_stall_width,minimum_dimension,stall width parallel to aisle,>=,2.50,m,Parking angle: 90 degrees; Dwelling Units,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 90 | Stall width parallel to aisle (metres) | Dwelling Units: 2.50,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0003,"[{'rule_id': 'pipeline10_rule_0003', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'Parking angle: 90 degrees; Dwelling Units'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0003'],1,kept,[],False,pipeline5_merged_rule_0003,motor_vehicle_parking_stall,,
page_0195__table_001,parking_75_aisle_width,parking_aisle_width,minimum_dimension,aisle width,>=,6.12,m,Parking angle: 75 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 75 | Aisle width (metres): 6.12,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0005,"[{'rule_id': 'pipeline10_rule_0005', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'Parking angle: 75 degrees'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0005'],1,kept,[],False,pipeline5_merged_rule_0005,motor_vehicle_parking_stall,,
page_0195__table_001,parking_75_stall_depth,parking_stall_depth,minimum_dimension,stall depth perpendicular to aisle,>=,5.64,m,Parking angle: 75 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 75 | Stall depth perpendicular to aisle (metres): 5.64,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0006,"[{'rule_id': 'pipeline10_rule_0006', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'Parking angle: 75 degrees'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0006'],1,kept,[],False,pipeline5_merged_rule_0006,motor_vehicle_parking_stall,,
page_0195__table_001,parking_75_stall_width_dwelling,parking_stall_width,minimum_dimension,stall width parallel to aisle,>=,2.59,m,Parking angle: 75 degrees; Dwelling Units,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 75 | Stall width parallel to aisle (metres) | Dwelling Units: 2.59,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0007,"[{'rule_id': 'pipeline10_rule_0007', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'Parking angle: 75 degrees; Dwelling Units'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0007'],1,kept,[],False,pipeline5_merged_rule_0007,motor_vehicle_parking_stall,,
page_0195__table_001,parking_60_aisle_width,parking_aisle_width,minimum_dimension,aisle width,>=,4.82,m,Parking angle: 60 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 60 | Aisle width (metres): 4.82,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0009,"[{'rule_id': 'pipeline10_rule_0009', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'Parking angle: 60 degrees'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0009'],1,kept,[],False,pipeline5_merged_rule_0009,motor_vehicle_parking_stall,,
page_0195__table_001,parking_60_stall_depth,parking_stall_depth,minimum_dimension,stall depth perpendicular to aisle,>=,5.49,m,Parking angle: 60 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 60 | Stall depth perpendicular to aisle (metres): 5.49,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0010,"[{'rule_id': 'pipeline10_rule_0010', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'Parking angle: 60 degrees'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0010'],1,kept,[],False,pipeline5_merged_rule_0010,motor_vehicle_parking_stall,,
page_0195__table_001,parking_60_stall_width_dwelling,parking_stall_width,minimum_dimension,stall width parallel to aisle,>=,2.89,m,Parking angle: 60 degrees; Dwelling Units,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 60 | Stall width parallel to aisle (metres) | Dwelling Units: 2.89,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0011,"[{'rule_id': 'pipeline10_rule_0011', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'Parking angle: 60 degrees; Dwelling Units'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0011'],1,kept,[],False,pipeline5_merged_rule_0011,motor_vehicle_parking_stall,,
page_0195__table_001,parking_45_aisle_width,parking_aisle_width,minimum_dimension,aisle width,>=,4.00,m,Parking angle: 45 degrees,,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 45 | Aisle width (metres): 4.00,[],gemini_table_image,page_0195__table_001,pipeline10_rule_0013,"[{'rule_id': 'pipeline10_rule_0013', 'rule_object': 'motor_vehicle_parking_stall', 'condition': 'Parking angle: 45 degrees'}]",['motor_vehicle_parking_stall'],1,single_scope,['pipeline10_rule_0013'],1,kept,[],False,pipeline5_merged_rule_0013,motor_vehicle_parking_stall,,
