source_id,rule_key,rule_object,constraint_type,subject,operator,value,unit,condition,exception,evidence_text,warnings,source_stream,batch_id,rule_id
page_0001__table_001,permitted_use_small_scale_multi_unit_housing,permitted_use,permitted_use,Small-Scale Multi-Unit Housing,permitted,,,Principal Use,,Principal Use | Small-Scale Multi-Unit Housing | -,[],gemini_table_image,page_0001__table_001,pipeline10_rule_0001
page_0001__table_001,permitted_use_rowhouse_dwellings,permitted_use,permitted_use,Rowhouse Dwellings,permitted,,,Principal Use; Use-Specific Regulations: 101.5.2,,Principal Use | Rowhouse Dwellings | 101.5.2,[],gemini_table_image,page_0001__table_001,pipeline10_rule_0002
page_0001__table_001,permitted_use_boarding_lodging_or_rooming_house,permitted_use,permitted_use,"Boarding, Lodging, or Rooming House",permitted,,,Principal Use; Use-Specific Regulations: 101.5.3,,"Principal Use | Boarding, Lodging, or Rooming House | 101.5.3",[],gemini_table_image,page_0001__table_001,pipeline10_rule_0003
page_0001__table_001,permitted_use_group_home,permitted_use,permitted_use,Group Home,permitted,,,Principal Use,,Principal Use | Group Home | -,[],gemini_table_image,page_0001__table_001,pipeline10_rule_0004
page_0001__table_001,permitted_use_supportive_housing_category_a,permitted_use,permitted_use,Supportive Housing (Category A),permitted,,,Principal Use; Use-Specific Regulations: 101.5.4,,Principal Use | Supportive Housing (Category A) | 101.5.4,[],gemini_table_image,page_0001__table_001,pipeline10_rule_0005
page_0001__table_001,permitted_use_child_care_facilities,permitted_use,permitted_use,Child Care Facilities,permitted,,,Principal Use; Use-Specific Regulations: 101.5.6,,Principal Use | Child Care Facilities | 101.5.6,[],gemini_table_image,page_0001__table_001,pipeline10_rule_0006
page_0001__table_001,permitted_use_boarding_use,permitted_use,permitted_use,Boarding Use (up to 2 boarders),permitted,,,Accessory Use,,Accessory Use | Boarding Use (up to 2 boarders) | -,[],gemini_table_image,page_0001__table_001,pipeline10_rule_0007
page_0001__table_001,permitted_use_home_occupations,permitted_use,permitted_use,Home Occupations,permitted,,,"Accessory Use; Use-Specific Regulations: 6.8, 6.8A",,"Accessory Use | Home Occupations | 6.8, 6.8A",[],gemini_table_image,page_0001__table_001,pipeline10_rule_0008
page_0001__table_001,permitted_use_urban_agriculture,permitted_use,permitted_use,Urban Agriculture,permitted,,,Accessory Use; Use-Specific Regulations: 6.30,,Accessory Use | Urban Agriculture | 6.30,[],gemini_table_image,page_0001__table_001,pipeline10_rule_0009
page_0001__table_001,permitted_use_accessory_buildings_structures_and_uses,permitted_use,permitted_use,"Accessory Buildings, Structures, and Uses",permitted,,,"Accessory Use; Use-Specific Regulations: 101.5.5, 6.6",,"Accessory Use | Accessory Buildings, Structures, and Uses | 101.5.5, 6.6",[],gemini_table_image,page_0001__table_001,pipeline10_rule_0010
