reason,source_id,merged_rule_id,rule_object,subject,operator,value,unit,condition,evidence_text
calgary_broad_rule_without_target_or_narrow_parent_scope,page_0195__table_001,pipeline5_merged_rule_0004,parking_stall_width,stall width parallel to aisle,>=,2.60,m,Parking angle: 90 degrees; Other Uses,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 90 | Stall width parallel to aisle (metres) | Other Uses: 2.60
calgary_broad_rule_without_target_or_narrow_parent_scope,page_0195__table_001,pipeline5_merged_rule_0008,parking_stall_width,stall width parallel to aisle,>=,2.69,m,Parking angle: 75 degrees; Other Uses,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 75 | Stall width parallel to aisle (metres) | Other Uses: 2.69
calgary_broad_rule_without_target_or_narrow_parent_scope,page_0195__table_001,pipeline5_merged_rule_0012,parking_stall_width,stall width parallel to aisle,>=,3.00,m,Parking angle: 60 degrees; Other Uses,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 60 | Stall width parallel to aisle (metres) | Other Uses: 3.00
calgary_broad_rule_without_target_or_narrow_parent_scope,page_0195__table_001,pipeline5_merged_rule_0016,parking_stall_width,stall width parallel to aisle,>=,3.68,m,Parking angle: 45 degrees; Other Uses,Table 2: Minimum Dimensions for Motor Vehicle Parking Stalls | Parking angle (degrees): 45 | Stall width parallel to aisle (metres) | Other Uses: 3.68
calgary_broad_rule_without_target_or_narrow_parent_scope,calgary_generic_graph_pack_064__page_0386__local_002,pipeline5_merged_rule_0023,private garage location,private garage,permitted,,,"on a laneless parcel, within the required 3.0 metre side setback area","A private garage on a laneless parcel may be located within the required 3.0 metre side setback area, except along the street side of a corner parcel."
calgary_broad_rule_without_target_or_narrow_parent_scope,calgary_generic_graph_pack_083__page_0398__local_004,pipeline5_merged_rule_0033,conformance,"Decks greater than 1.5 metres in height, landings, retaining walls and window wells",permitted,,,for Dwellings; legally existing or approved prior to the effective date of this Bylaw,"Decks greater than 1.5 metres in height, landings, retaining walls and window wells that are legally existing or approved prior to the effective date of this Bylaw are deemed to conform with the requirements of this Bylaw."
calgary_broad_rule_without_target_or_narrow_parent_scope,calgary_generic_graph_pack_117__page_0433__local_002,pipeline5_merged_rule_0037,parking_stalls,number,required,,,"Unless otherwise referenced in subsection (2) and (3), the minimum number of motor vehicle parking stalls is the requirement referenced in Part 4.","Unless otherwise referenced in subsection (2) and (3), the minimum number of motor vehicle parking stalls is the requirement referenced in Part 4."
calgary_broad_rule_without_target_or_narrow_parent_scope,calgary_generic_graph_pack_138__page_0451__local_005,pipeline5_merged_rule_0048,parking_stalls,motor_vehicle_parking_stalls,required,,,"Unless otherwise referenced in subsection (2) and (3), the requirement is referenced in Part 4.","Unless otherwise referenced in subsection (2) and (3), the minimum number of motor vehicle parking stalls is the requirement referenced in Part 4."
calgary_broad_rule_without_target_or_narrow_parent_scope,calgary_generic_graph_pack_161__page_0483__local_004,pipeline5_merged_rule_0059,parking_stalls,building,>=,1.2,m,from a rear property line shared with a carriage house lot where all the required motor vehicle parking stalls are provided in a private garage,The minimum building setback from a rear property line shared with a carriage house lot is 1.2 meters where all the required motor vehicle parking stalls are provided in a private garage.
calgary_broad_rule_without_target_or_narrow_parent_scope,calgary_generic_graph_pack_165__page_0484__local_003,pipeline5_merged_rule_0062,private_amenity_space,private amenity space,required,,,"For a Duplex Dwelling, Rowhouse Building, Semi-detached Dwelling or a Single Detached Dwelling, each unit must have direct access to private amenity space that is provided outdoors","Unless otherwise referenced in subsection (2) or (3), for a Duplex Dwelling, Rowhouse Building, Semi-detached Dwelling or a Single Detached Dwelling, each unit must have direct access to private amenity space that: (a) is provided outdoors;"
calgary_broad_rule_without_target_or_narrow_parent_scope,calgary_generic_graph_pack_165__page_0484__local_003,pipeline5_merged_rule_0063,parking_stalls,private amenity space,prohibited,,,"For a Duplex Dwelling, Rowhouse Building, Semi-detached Dwelling or a Single Detached Dwelling, each unit must have direct access to private amenity space that is not used for vehicle access or as a motor vehicle parking stall",(b) is not used for vehicle access or as a motor vehicle parking stall;
calgary_broad_rule_without_target_or_narrow_parent_scope,calgary_generic_graph_pack_165__page_0484__local_003,pipeline5_merged_rule_0064,private_amenity_space,private amenity space,prohibited,,,"For a Duplex Dwelling, Rowhouse Building, Semi-detached Dwelling or a Single Detached Dwelling, each unit must have direct access to private amenity space that is not located in the building setback area between the front property line and a line parallel to the front property line measured at the closest building setback from the front property line",(c) is not located in the building setback area between the front property line and a line parallel to the front property line measured at the closest building setback from the front property line;
calgary_broad_rule_without_target_or_narrow_parent_scope,calgary_generic_graph_pack_165__page_0484__local_004,pipeline5_merged_rule_0065,private_amenity_space,private amenity space,>=,22.0,m2,"For a Duplex Dwelling, Rowhouse Building, Semi-detached Dwelling or a Single Detached Dwelling, each unit must have direct access to private amenity space that has a minimum total area of 22.0 square metres",(d) has a minimum total area of 22.0 square metres;
calgary_broad_rule_without_target_or_narrow_parent_scope,calgary_generic_graph_pack_165__page_0484__local_004,pipeline5_merged_rule_0066,private_amenity_space,private amenity space,>=,3.0,m,"For a Duplex Dwelling, Rowhouse Building, Semi-detached Dwelling or a Single Detached Dwelling, each unit must have direct access to private amenity space that has no dimension of less than 3.0 metres",(e) has no dimension of less than 3.0 metres.
calgary_broad_rule_without_target_or_narrow_parent_scope,calgary_generic_graph_pack_165__page_0484__local_004,pipeline5_merged_rule_0067,private_amenity_space,private amenity space,required,,,"For a Duplex Dwelling, Rowhouse Building or a Semi-detached Dwelling located on parcel designated R-Gm, each unit must have direct access to private amenity space that is provided outdoors","Unless otherwise referenced in subsection (3), for a Duplex Dwelling, Rowhouse Building or a Semi-detached Dwelling located on parcel designated R-Gm, each unit must have direct access to private amenity space that: (a) is provided outdoors;"
