reason,source_id,merged_rule_id,rule_object,subject,operator,value,unit,condition,evidence_text
burnaby_non_target_permitted_use_table_row,page_0001__table_001,pipeline5_merged_rule_0003,permitted_use,"Boarding, Lodging, or Rooming House",permitted,,,Principal Use; Use-Specific Regulations: 101.5.3,"Principal Use | Boarding, Lodging, or Rooming House | 101.5.3"
burnaby_non_target_permitted_use_table_row,page_0001__table_001,pipeline5_merged_rule_0004,permitted_use,Group Home,permitted,,,Principal Use,Principal Use | Group Home | -
burnaby_non_target_permitted_use_table_row,page_0001__table_001,pipeline5_merged_rule_0005,permitted_use,Supportive Housing (Category A),permitted,,,Principal Use; Use-Specific Regulations: 101.5.4,Principal Use | Supportive Housing (Category A) | 101.5.4
burnaby_non_target_permitted_use_table_row,page_0001__table_001,pipeline5_merged_rule_0006,permitted_use,Child Care Facilities,permitted,,,Principal Use; Use-Specific Regulations: 101.5.6,Principal Use | Child Care Facilities | 101.5.6
burnaby_non_target_permitted_use_table_row,page_0001__table_001,pipeline5_merged_rule_0007,permitted_use,Boarding Use (up to 2 boarders),permitted,,,Accessory Use,Accessory Use | Boarding Use (up to 2 boarders) | -
burnaby_non_target_permitted_use_table_row,page_0001__table_001,pipeline5_merged_rule_0008,permitted_use,Home Occupations,permitted,,,"Accessory Use; Use-Specific Regulations: 6.8, 6.8A","Accessory Use | Home Occupations | 6.8, 6.8A"
burnaby_non_target_permitted_use_table_row,page_0001__table_001,pipeline5_merged_rule_0009,permitted_use,Urban Agriculture,permitted,,,Accessory Use; Use-Specific Regulations: 6.30,Accessory Use | Urban Agriculture | 6.30
burnaby_non_target_permitted_use_table_row,page_0001__table_001,pipeline5_merged_rule_0010,permitted_use,"Accessory Buildings, Structures, and Uses",permitted,,,"Accessory Use; Use-Specific Regulations: 101.5.5, 6.6","Accessory Use | Accessory Buildings, Structures, and Uses | 101.5.5, 6.6"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_004__page_0001__local_006,pipeline5_merged_rule_0067,lot_width,interior_lot,>=,5,m,for Small-Scale Multi-Unit Rowhouse dwelling type,"Minimum Lot Width .2 Interior Lot 5 m, except 6.2 m for end unit lots"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_004__page_0001__local_006,pipeline5_merged_rule_0068,lot_width,interior_lot,>=,6.2,m,"for Small-Scale Multi-Unit Rowhouse dwelling type, for end unit lots","Minimum Lot Width .2 Interior Lot 5 m, except 6.2 m for end unit lots"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_004__page_0001__local_006,pipeline5_merged_rule_0069,lot_width,corner_lot_street_frontage,>=,8,m,for Small-Scale Multi-Unit Rowhouse dwelling type,Corner Lot - Street 8 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_004__page_0001__local_006,pipeline5_merged_rule_0070,lot_width,corner_lot_lane_frontage,>=,6.2,m,for Small-Scale Multi-Unit Rowhouse dwelling type,Corner Lot - Lane 6.2 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_004__page_0001__local_006,pipeline5_merged_rule_0071,lot_area,lot,>=,281,m2,for Small-Scale Multi-Unit Rowhouse dwelling type,Minimum Lot Area - 281 m2
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_004__page_0001__local_006,pipeline5_merged_rule_0072,lot_area,lot,<=,280,m2,for Small-Scale Multi-Unit Rowhouse dwelling type,Maximum Lot Area 280 m2
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_004__page_0001__local_006,pipeline5_merged_rule_0073,section_219_covenant_registration,subdivision_plan,required,,,"at the time of registration of the subdivision plan to create two or more rowhouse lots, to ensure that all adjoining rowhouse",".1 At the time of registration of the subdivision plan to create two or more rowhouse lots, the registration of a Section 219 Covenant will be required to ensure that all adjoining rowhouse"
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0074,lot_area,lot,<=,280,m2,for rowhouse dwelling type,Maximum Lot Area .1          280 m2
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0075,lot_coverage,all_buildings,<=,55,%,for rowhouse dwelling type,All Buildings               55%
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0076,impervious_surface_area,lot,<=,70,%,for rowhouse dwelling type,Impervious Surfaces          70%
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0077,lot_area,lot,>=,281,m2,for small-scale multi-unit dwelling type with 3 to 4 units,Minimum Lot Area                        -                     -                    281 m2
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0078,lot_area,lot,>=,281,m2,"for small-scale multi-unit dwelling type with 4 units only, located in a Frequent Transit Network Area",Minimum Lot Area                        -                     -                    281 m2                                                               281 m2
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0079,lot_coverage,all_buildings,<=,40,%,for small-scale multi-unit dwelling type with 1 to 3 units,All Buildings               55%                  40%
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0080,lot_coverage,all_buildings,<=,40,%,for small-scale multi-unit dwelling type with 1 to 2 units,All Buildings               55%                  40%
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0081,lot_coverage,all_buildings,<=,45,%,for small-scale multi-unit dwelling type with 3 to 4 units,All Buildings               55%                  40%       45%
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0082,lot_coverage,all_buildings,<=,45,%,"for small-scale multi-unit dwelling type with 4 units only, located in a Frequent Transit Network Area",All Buildings               55%                  40%       45%
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0083,impervious_surface_area,lot,<=,60,%,for small-scale multi-unit dwelling type with 1 to 3 units,Impervious Surfaces          70%        60%
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0084,impervious_surface_area,lot,<=,60,%,for small-scale multi-unit dwelling type with 1 to 2 units,Impervious Surfaces          70%        60%       60%
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0085,impervious_surface_area,lot,<=,60,%,for small-scale multi-unit dwelling type with 3 to 4 units,Impervious Surfaces          70%        60%       60%
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_001,pipeline5_merged_rule_0086,impervious_surface_area,lot,<=,70,%,"for small-scale multi-unit dwelling type with 4 units only, located in a Frequent Transit Network Area",Impervious Surfaces          70%        60%       60%       70%
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0087,building_height,front_principal_building,<=,10,m,"for rowhouse dwelling type, with a sloping roof",Height                                   sloping roof: 10 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0088,building_height,front_principal_building,<=,9.5,m,"for rowhouse dwelling type, with a flat roof",Height                                   sloping roof: 10 m | flat roof: 9.5 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0089,building_storeys,front_principal_building,<=,3,storeys,"for rowhouse dwelling type, basement inclusive",Storeys (basement inclusive)     3 storeys
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0090,building_storeys,front_principal_building,<=,2.5,storeys,"for small-scale multi-unit dwelling type with 1 to 3 units, basement inclusive",Storeys (basement inclusive)     3 storeys      2.5 storeys
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0091,building_storeys,front_principal_building,<=,2.5,storeys,"for small-scale multi-unit dwelling type with 1 to 2 units, basement inclusive",Storeys (basement inclusive)     3 storeys      2.5 storeys
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0092,building_storeys,front_principal_building,<=,3,storeys,"for small-scale multi-unit dwelling type with 3 to 4 units, basement inclusive",Storeys (basement inclusive)     3 storeys      2.5 storeys           3 storeys
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0093,building_storeys,front_principal_building,<=,3,storeys,"for small-scale multi-unit dwelling type with 4 units only, located in a Frequent Transit Network Area, basement inclusive",Storeys (basement inclusive)     3 storeys      2.5 storeys           3 storeys
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0094,building_height,rear_principal_building,<=,7.5,m,"for rowhouse dwelling type, with a sloping roof",Height                                   sloping roof: 7.5 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0095,building_height,rear_principal_building,<=,7.0,m,"for rowhouse dwelling type, with a flat roof",Height                                   sloping roof: 7.5 m | flat roof: 7.0 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0096,building_storeys,rear_principal_building,<=,2,storeys,"for rowhouse dwelling type, basement inclusive",Storeys (basement inclusive)                        2 storeys
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0097,building_height,accessory_building,<=,4.0,m,for rowhouse dwelling type,Accessory Buildings                                4.0 m
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0098,building_storeys,accessory_building,<=,1,storeys,for rowhouse dwelling type,Accessory Buildings                                4.0 m | 1 storey
table_image_preferred_over_same_page_text_ocr,burnaby_generic_graph_pack_007__page_0002__local_002,pipeline5_merged_rule_0099,building_setback,street_yard,>=,3.0,m,for all buildings of rowhouse dwelling type,Street Yard                       3.0 m
